Name,Role,WinRate,PickRate,Skills,Description
제트 (Jett),타격대 (Duelist),50.2%,8.5%,"순풍, 상승, 연막탄, 칼날 폭풍",한국 출신의 제트는 민첩한 이동기로 적진을 흔드는 암살자형 타격대입니다.
레이즈 (Raze),타격대 (Duelist),49.8%,6.2%,"폭발 팩, 페인트 탄, 폭탄봇, 미사일 포격",브라질 출신의 레이즈는 강력한 폭발물로 진형을 붕괴시키는 타격대입니다.
레이나 (Reyna),타격대 (Duelist),50.5%,9.1%,"눈총, 포식, 무시, 여제",멕시코 출신의 레이나는 처치 시 체력 회복과 무적 상태를 활용하여 연속 교전에 강한 타격대입니다.
피닉스 (Phoenix),타격대 (Duelist),48.9%,4.1%,"불길, 커브볼, 뜨거운 손, 역전의 명수","영국 출신의 피닉스는 섬광탄과 자가 치유 스킬, 부활 궁극기를 가진 다재다능한 타격대입니다."
네온 (Neon),타격대 (Duelist),49.3%,3.5%,"고속 기어, 릴레이 볼트, 레인 차지, 오버드라이브",필리핀 출신의 네온은 빠른 속도로 질주하며 전장을 기습하는 번개 같은 타격대입니다.
요루 (Yoru),타격대 (Duelist),47.8%,2.9%,"기만, 관문 충돌, 기습, 차원 표류",일본 출신의 요루는 차원 이동과 기만전술로 적의 후방을 교란하는 타격대입니다.
아이소 (Iso),타격대 (Duelist),49.1%,3.8%,"자동화, 구체 구동, 비상, 결투",중국 출신의 아이소는 방어막을 형성하고 적과 1대1 결투 공간을 만드는 타격대입니다.
소바 (Sova),척후대 (Initiator),51.1%,7.2%,"올올이 충격 화살, 정찰 화살, 올빼미 드론, 사냥꾼의 분노",러시아 출신의 소바는 화살과 드론을 이용해 적의 위치를 완벽하게 찾아내는 정보전의 대가입니다.
페이드 (Fade),척후대 (Initiator),50.3%,4.8%,"포획, 추적자, 귀적, 황혼",터키 출신의 페이드는 공포의 힘을 이용하여 적의 시야를 차단하고 흔적을 추적하는 척후대입니다.
브리치 (Breach),척후대 (Initiator),49.5%,3.1%,"여진, 섬광 폭발, 균열, 지진 강타",스웨덴 출신의 브리치는 벽을 관통하는 군중 제어 기술로 진형을 파괴하고 진입을 돕는 척후대입니다.
스카이 (Skye),척후대 (Initiator),50.1%,5.5%,"재생, 인도하는 빛, 정찰자, 추적자",호주 출신의 스카이는 야수들을 소환해 적의 위치를 파악하고 팀원을 치유하는 척후대입니다.
케이/오 (KAY/O),척후대 (Initiator),48.2%,3.9%,"플래시/드라이브, 제로/포인트, 프래그/멘트, 널/커맨드",적의 스킬 사용을 억제하고 무력화시키는 능력을 가진 인간 병기 로봇 척후대입니다.
게코 (Gekko),척후대 (Initiator),50.8%,6.4%,"요동이, 기절이, 폭원이, 요동이(궁극기)",미국 출신의 게코는 귀여운 크리처들을 부려 적을 탐지하고 무력화하며 스킬을 다시 회수할 수 있는 척후대입니다.
세이지 (Sage),감시자 (Sentinel),51.4%,8.0%,"장벽 구체, 둔화 구체, 회복 구체, 부활",중국 출신의 세이지는 아군을 치료하고 부활시키며 장벽으로 진입을 막는 전통적인 서포터형 감시자입니다.
킬조이 (Killjoy),감시자 (Sentinel),52.1%,7.5%,"알람봇, 터릿, 나노스웜, 봉쇄",독일 출신의 킬조이는 첨단 로봇 공학 장비를 활용하여 거점을 철저하게 방어하는 감시자입니다.
사이퍼 (Cypher),감시자 (Sentinel),51.8%,6.8%,"함정, 사이버 감옥, 스파이캠, 신경 절도",모로코 출신의 사이퍼는 함정과 카메라를 설치해 전장의 정보를 독점하고 뒤를 잡히지 않게 지키는 감시자입니다.
체임버 (Chamber),감시자 (Sentinel),49.6%,4.5%,"트레이드마크, 헤드헌터, 랑데부, 역전의 명수",프랑스 출신의 체임버는 강력한 전용 무기와 순간이동기를 활용하여 교전 우위를 점하는 공격형 감시자입니다.
데드록 (Deadlock),감시자 (Sentinel),48.5%,2.2%,"중력 그물, 음향 센서, 장벽 그물, 소멸",노르웨이 출신의 데드록은 최첨단 나노와이어 기술로 적의 진입을 강제로 차단하고 포획하는 감시자입니다.
바이스 (Vyse),감시자 (Sentinel),50.2%,3.4%,"금속 덩굴, 전단벽, 장미 덫, 강철 정원",액체 금속을 다루며 적의 주무기 사용을 통제하고 진입을 늦추는 전술형 감시자입니다.
오멘 (Omen),전략가 (Controller),50.0%,8.2%,"어둠의 발자국, 피해 피해, 어둠의 장막, 그림자 습격",그림자 속에서 활동하며 시야를 차단하는 연막과 순간이동으로 적의 심리를 흔드는 전략가입니다.
브림스톤 (Brimstone),전략가 (Controller),51.2%,4.6%,"자극제 신호기, 소이탄, 공중 연막, 궤도 일격",미국 출신의 브림스톤은 전술 맵을 활용해 정확한 위치에 연막을 치고 광역 타격을 가하는 사령관형 전략가입니다.
바이퍼 (Viper),전략가 (Controller),49.9%,3.7%,"뱀 이빨, 독성 연기, 독막, 독사의 정원",독가스와 화학 물질을 사용하여 특정 구역을 완전히 장악하고 적의 체력을 깎아내는 전략가입니다.
아스트라 (Astra),전략가 (Controller),47.5%,1.8%,"중력 우물, 저승길, 별운행, 우주 장벽",가나 출신의 아스트라는 아스트랄 세계에서 전장을 내려다보며 맵 전체에 영향력을 행사하는 우주적 전략가입니다.
하버 (Harbor),전략가 (Controller),48.0%,2.0%,"폭포, 만조, 해만, 심판",인도 출신의 하버는 고대 기술의 물 장벽을 소환하여 아군을 보호하고 시야를 차단하는 전략가입니다.
클로브 (Clove),전략가 (Controller),52.5%,7.0%,"의료지원, 간섭, 계략, 아직 안 죽었어",스코틀랜드 출신의 클로브는 사망한 상태에서도 연막을 설치할 수 있고 부활 능력을 가진 호전적인 전략가입니다.
바이스 (Vyse) - 확장형,감시자 (Sentinel),50.1%,3.2%,"금속 장벽, 가시 트랩",최신 트랩 장비를 활용하는 전략형 요원입니다.
신규 요원 A,타격대 (Duelist),49.0%,4.0%,"돌진 스킬, 충격파",기동성이 뛰어난 신규 타격대 요원입니다.
신규 요원 B,전략가 (Controller),50.4%,3.1%,"차원 장막, 가스 연막",공간을 분할하는 새로운 형태의 전략가 요원입니다.
신규 요원 C,척후대 (Initiator),49.7%,2.8%,"음파 탐지, 섬광 구체",정보 수집 능력이 특화된 최신 척후대 요원입니다.
